mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,pitch_mean,pitch_std,zcr,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,contrast_7,native_language
-222.62677,96.28981,-0.7256457,-0.15765595,-6.4154754,-22.299631,-16.74069,-9.949143,-10.582842,-10.789796,-12.2174225,-8.10643,-9.095605,258.54640090969394,100.50669956186745,0.10950760033945688,21.994656385962514,17.354437804092537,19.419126565271668,18.672813577433597,19.843118810188948,19.40673538756774,17.05325988491667,hausa
-197.08559,86.25603,19.347822,12.278872,1.7860614,-7.570091,-8.317083,-5.1921015,-4.912253,-4.1892962,-0.60640526,-1.3394397,-1.2068356,168.31296911334405,75.88233686907382,0.16756548896765175,20.546212833054824,15.363400887948293,18.18895842893874,16.10724290665269,16.299104335822996,14.898412702759934,13.804676435509467,hausa
-199.05598,30.972847,5.31252,27.868866,-22.029118,-13.223736,0.2861407,-16.044348,-0.21809538,-7.1561604,-2.7328904,-1.4109665,-6.2537007,333.37340281120356,136.77490125854922,0.21648175419329074,16.544445606893124,19.77386838358894,20.186499649086112,18.832244432337,18.93668953178726,20.545998053004695,14.91230907128103,hausa
-164.53773,86.29841,26.301462,-7.6851773,3.312127,-3.7129207,-14.947838,-12.19367,-13.286721,-1.7082881,-3.7387352,-6.438305,-8.03683,212.9431612125006,69.41641744614228,0.15117530700878595,20.29932423461604,17.70301494300509,19.3695016560137,17.10730052554097,19.124686430534762,18.096081015815276,14.94589030168775,hausa
-189.81926,78.16312,11.839699,20.448467,0.58650565,-7.0164986,-8.220315,-4.2405057,-7.698123,3.094642,1.2240313,2.5070906,3.4600039,140.52467155105904,84.60809341388786,0.15151304787340256,20.447624009562748,17.60878950344527,18.55445961820998,16.467617864733853,16.371760637221296,17.06022086968824,13.919678241692187,hausa
-195.38551,73.54439,31.119743,8.342782,-13.428019,-21.494724,-13.894888,-19.198215,-5.08475,-4.7893095,0.661827,-4.6354656,-6.065068,234.24863306660095,130.17347311987703,0.10169296875,20.570030290968944,15.768563951750862,18.764959627853294,17.582334533974475,17.11124092521567,17.21334546544228,14.701220972410237,hausa
-266.2917,62.632923,49.335518,18.33663,-10.860278,-6.7659745,1.2833556,-19.235094,-4.7755685,-9.471806,-9.349628,2.220333,-16.050575,174.4869784850353,61.861803642989805,0.17639901158146964,21.965656833888872,15.969983675781942,18.45071774092588,17.066545605492657,17.624476689273447,19.885708112010715,17.21213320510064,hausa
-158.5578,90.36559,39.315353,17.074455,-3.2649996,6.4592667,-13.854586,-20.042055,-11.146936,-17.042292,0.36641082,-5.606392,-7.5640693,185.23151540835127,99.47915059993733,0.09656034719448882,21.27170189395553,17.782611921861225,21.51241079211341,17.534029979767606,15.833161724003954,16.754958565406973,14.079499243630105,hausa
-172.98355,74.07118,8.857024,28.896086,-9.349259,-18.619646,-20.883202,-16.240982,-20.797905,-6.647369,-10.882527,-15.812262,-2.6363716,281.2487875156166,59.54146136759065,0.14190108326677317,22.679222636184118,20.8162120809736,24.58662017639257,19.47017057298192,19.68817958348422,19.34373241041176,17.252322643644742,hausa
-270.08286,63.43471,29.94739,19.04956,7.0870786,-1.9730814,-17.865557,-12.274189,-4.2180433,-10.233718,4.0359325,2.7863724,-8.217382,167.46809658539357,90.51305886486121,0.19432735747803515,21.312221573503223,14.054954279348493,19.248089990214844,18.392288239542353,20.185030117511236,19.743862789301303,16.75926532620524,hausa
